Distance,Angle1
25,1.06
30,1.406
35,1.752
40,2.098
45,2.444
50,2.79
55,3.112
60,3.434
65,3.756
70,4.078
75,4.4
80,4.648
85,4.896
90,5.144
95,5.392
100,5.64
105,6.016
110,6.392
115,6.768
120,7.144
125,7.52
130,7.714
135,7.908
140,8.102
145,8.296
150,8.49
155,8.964
160,9.438
165,9.912
170,10.386
175,10.86
180,11.272
185,11.684
190,12.096
195,12.508
200,12.92
205,13.378
210,13.836
215,14.294
220,14.752
225,15.21
230,15.518
235,15.826
240,16.134
245,16.442
250,16.75
255,17.572
260,18.394
265,19.216
270,20.038
275,20.86
280,21.558
285,22.256
290,22.954
295,23.652
300,24.35
305,25.074
310,25.798
315,26.522
320,27.246
325,27.97
330,28.978
335,29.986
340,30.994
345,32.002
350,33.01
355,34.218
360,35.426
365,36.634
370,37.842
